organism,min_temp,max_temp,optimal_temp,min_pH,max_pH,optimum_ph,min_sal,max_sal,optimum_sal,motility,hidrocarbons,aerobiosis,anaerobiosis,gram,nitrate-red,source,,,,,
Pseudaestuariivita atlantica,10,45,28,5,10,7.5,1,9,4,0,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/26297013/,,,,,
Ascidiaceihabitans donghaensis,4,30,30,6,8,7.5,1.5,6,2,0,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/25205799/,,,,,
Boseongicola aestuarii ,10,30,25,6.5,8,7.5,0.5,5,2,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.061960-0,,,,,
Cognatiyoonia sediminum,10,46,30,7,10,7.5,0,6,3.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.070680-0,,,,,
Roseobacter litoralis,2,30,25,7.5,9.5,7.5,,,,1,0,1,0,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3141670/,,,,,
Octadecabacter temperatus,4,25,20,7,9,8,1,6,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/6/1967_ijs000205.pdf?expires=1663939839&id=id&accname=guest&checksum=87A2EEB765AF81750BA7B7D297083A80,,,,,
Pseudooctadecabacter jejudonensis,15,35,30,6,8,7.5,1,6,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.057513-0,,,,,
Roseovarius nanhaiticus,15,30,30,,,,0.5,10,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.012930-0,,,,,
Pseudooceanicola marinus,4,42,31.5,6,9,7,2,8,4,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65020-0,,,,,
Roseovarius litorisediminis,4,40,25,5,8,7.5,1,7,2.5,0,0,1,0,0,0,https://link.springer.com/article/10.1007/s10482-013-9930-4,,,,,
Pseudooceanicola atlanticus,10,41,26.5,4,9,7,0.5,9,4,0,0,1,1,0,0,https://link.springer.com/article/10.1007/s10482-015-0398-2,,,,,
Pseudooceanicola antarcticus,4,40,36,5.5,9.5,7,0.5,10,1.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.062588-0,,,,,
Pseudooceanicola batsensis,4,40,30,6,9,7.75,0.75,10,2.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.03015-0,,,,,
Pseudooceanicola nitratireducens,10,37,28,7,9.5,8.15,0.5,7,2.25,0,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.016311-0,,,,,
Pseudooceanicola nanhaiensis,10,37,28,6,9.5,7.75,0,10,2.5,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64532-0,,,,,
Pseudoxanthomonas suwonensis,10,45,30,6,8,7,0,5,2.5,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63749-0,,,,,
Stenotrophomonas bentonitica,15,37,28,5,10,7,0,2.5,1.25,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002016,,,,,
Amphritea atlantica,4,40,32.5,4.6,9.5,8,0.3,9,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65234-0,,,,,
Oceanospirillum beijerinckii,7,41,33.5,6,9,7.5,0.5,8,4.25,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/0096266X-7-2-49,https://link.springer.com/referenceworkentry/10.1007/0-387-30746-X_33/tables/3,,,,
Oceanobacter kriegii,,35,,,,,,,,1,,,,,0,https://link.springer.com/article/10.1007/BF01627259,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-3-739,,,,
Oceanospirillum linum,11,38,30,6,9,7.5,1.4,12,4.25,1,0,1,0,0,0,https://link.springer.com/referenceworkentry/10.1007/0-387-30746-X_33/tables/3,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64524-0,,,,
Oceanospirillum maris,2,33,25,6,9,7.5,0.5,8,4.25,1,0,1,0,0,0,https://link.springer.com/referenceworkentry/10.1007/0-387-30746-X_33/tables/3,,,,,
Marinobacterium jannaschii,15,37,,,,,1.4,7,,1,,,,,1,https://link.springer.com/article/10.1007/BF01627259,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64524-0,,,,
Neptuniibacter caesariensis,15,37,26.5,7.5,7.5,7.5,1.7,6,3.8,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64524-0,,,,,
Neptunomonas antarctica,4,25,15,6,8,6.75,0.5,5,2.5,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.017756-0,,,,,
Marinomonas profundimaris,4,37,26.5,5,10,7,0.5,6,3,1,1,1,0,0,0,https://link.springer.com/article/10.1007/s10482-014-0213-5,,,,,
Marinomonas mediterranea,,,,,,,,,,1,0,1,0,0,1,https://d1wqtxts1xzle7.cloudfront.net/55828786/1241-libre.pdf?1518902859=&response-content-disposition=inline%3B+filename%3DStudies_on_the_phylogenetic_relationship.pdf&Expires=1664184817&Signature=adivEvYRLxxImw2TaWtsWJteyyPc9yzGaaBkg2qLMoiXGhT5N10e78dNb9XJvsJN2yzqKvMnl7Rcj-HC6L~fBuQlS6LIGnPkW3KsrGiNl53RhOHkBv2tCmqUKrhKG0hrbV4qw5wNr0b~ygwtmq4KYz477yaR9U0t-wBpR9m1uJaw0Q8Ch7QvH5i1ij1ES87CGe5MoTC1vS3yhTbgCSwBVy9c4SMjBYhk1ejH7k9yEjcko3IQ2~vfccIpjlmqyjbxJVuWGPMYBePfCZFLk9PPsvKcjW7LnFtEAd6B2yoUyM3A4lZEDVBtR~9qYF3jSk3U53dwxG6mLsvT~Kt1KuJr-Q__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,,,
Marinomonas primoryensis,4,30,,,,7,1,6,3.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02280-0,,,,,
Marinomonas alcarazii,5,37,,,,,0.5,10,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.027227-0,,,,,
Ferrimonas marina,15,37,27.5,6,11,7.5,1.5,3.5,3,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63689-0,,,,,
Ferrimonas balearica,6,42,,6,9,7.5,0.5,7.5,4,1,0,1,1,0,1,https://www.sciencedirect.com/science/article/pii/S0723202011803905,,,,,
Agarivorans gilvus,10,45,30,6.5,9.5,8.5,0.5,5,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.019810-0,,,,,
Aliagarivorans marinus,15,37,27.5,7,9,8,1,7,2.5,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.008235-0,,,,,
Vibrio xiamenensis,15,40,33.5,5,8.5,7.25,0.5,10,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.033597-0,,,,,
Vibrio thalassae,15,28,25,,,8,2,7,4.5,1,0,1,1,0,1,https://www.sciencedirect.com/science/article/pii/S0723202014000794?via%3Dihub,,,,,
Vibrio natriegens,25,37,30,5.5,9.5,7.75,0.5,2.5,1.5,1,0,1,1,0,1,https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/1462-2920.15128,https://journals.asm.org/doi/10.1128/jb.83.4.736-737.1962,https://link.springer.com/article/10.1007/BF02538432,https://microbewiki.kenyon.edu/index.php/Vibrio_natriegens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5845447/,https://www.biorxiv.org/content/10.1101/775437v1
Vibrio brasiliensis,10,40,28,,,,0.5,8,4.25,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02447-0,,,,,
Marinomonas gallaica,4,37,24,5,10,8,1,10,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001170,,,,,
Marinomonas aquimarina,13,40,26.5,,,7.5,1,10,5.5,1,0,1,0,0,0,https://www.sciencedirect.com/science/article/pii/S0723202004000773?via%3Dihub,,,,,
Marinomonas fungiae,16,42,28,5.5,10,7.5,0.5,11,4,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.054809-0,,,,,
Marinomonas communis,,40,,5.5,10,,2,3,2.5,,,1,0,0,,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.054809-0,,,,,
Oceanisphaera psychrotolerans,4,40,26.5,5,9,7.5,0,10,5,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000331,,,,,
Zobellella denitrificans,10,45,32.5,6,10,7.5,0,12,2,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64121-0,,,,,
Zobellella taiwanensis,10,45,32.5,6,10,7.5,0,14,2,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64121-0,,,,,
Zobellela maritima,10,45,32.5,5,10,8,0,5,2,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002825,,,,,
Endozoicomonas ascidiicola,5,31,24,6.2,8.9,6.5,0.5,5,1.5,1,0,1,1,0,1,https://www.sciencedirect.com/science/article/pii/S0723202016300406?via%3Dihub,,,,,
Endozoicomonas atrinae,15,37,30,6,9,7,1,4,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.060780-0,,,,,
Pantoea dispersa,30,41,35.5,,,7,,,,1,0,1,1,0,1,https://www.researchgate.net/profile/Karel-Kersters/publication/237311055_Transfer_of_Enterobacter_agglomerans_Beijerinck_1888_Ewing_and_Fife_1972_to_Pantoea_gen_nov_as_Pantoea_agglomerans_comb_nov_and_Description_of_Pantoea_dispersa_sp_nov/links/5597f43c08ae99aa62ca1255/Transfer-of-Enterobacter-agglomerans-Beijerinck-1888-Ewing-and-Fife-1972-to-Pantoea-gen-nov-as-Pantoea-agglomerans-comb-nov-and-Description-of-Pantoea-dispersa-sp-nov.pdf,,,,,
Mangrovibacter plantisponsor,15,40,29,,,,0,8,4,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.008292-0,,,,,
Enterobacter himalayensis,4,25,22,6,10,7,5,8,6.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63532-0,,,,,
Salmonella enterica,13,39,36,5,8,7.65,0.5,8.5,0.5,1,0,1,1,0,0,https://pubmed.ncbi.nlm.nih.gov/29580466/,https://www.cdfa.ca.gov/ahfss/Animal_Health/PHR250/2007/25007Sal.pdf,,,,
Serratia nematodiphila,4,42,33.5,5,11,8,2,7,4.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.003871-0,,,,,
Hafnia paralvei,28,37,32.5,,,,,,,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.018606-0,,,,,
Gallaecimonas xiamenensis,10,42,27.5,5,10,7,0,12,4,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.042283-0,,,,,
Gallaecimonas pentaromativorans,20,37,30,5,10,6.5,0,7,1.5,1,1,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.013532-0,,,,,
Endozoicomonas elysicola,4,37,27.5,,,,,,,1,0,1,0,0,1,https://www.sciencedirect.com/science/article/pii/S0723202006000920?via%3Dihub,,,,,
Endozoicomonas montiporae,15,35,25,6,10,8,1,3,2.5,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.014357-0,,,,,
Pseudomonas pachastrellae,7,41,,5,10,,0,10,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63176-0,,,,,
Pseudomonas pelagia,4,33,25,6.5,9.1,7.8,0.5,8,1.5,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.008102-0,,,,,
Marinobacterium litorale ,8,42,30,5,12,9,1,7.5,3.25,1,0,1,1,0,0,https://www.researchgate.net/profile/Jung-Sook-Lee-5/publication/6213418_Marinobacterium_litorale_sp_nov_in_the_order_Oceanospirillales/links/0046352379ee72d0e7000000/Marinobacterium-litorale-sp-nov-in-the-order-Oceanospirillales.pdf,,,,,
Marinobacterium lutimaris,15,40,27.5,6,8,7,1,10,3.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.016246-0,,,,,
Pseudomonas marincola,5,37,26.5,5.5,9.5,7.5,0,8,4,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65406-0,,,,,
Pseudomonas taeanensis,4,30,26.5,6,9.5,7.25,0,5,2.5,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.018093-0,,,,,
Aeromonas dhakensis,30,37,33.5,,,,0,3,1.5,1,0,1,0,0,1,https://www.sciencedirect.com/science/article/pii/S0723202013000052,,,,,
Pseudomonas alcaliphila,4,30,27,7,10,8.5,0,7,4,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-51-2-349,,,,,
Pseudomonas stutzeri,4,45,35,5,9,7.6,0.58,5.8,3,1,0,1,1,0,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1489536/,,,,,
Pseudomonas aeruginosa,25,42,37,4.5,9.5,7.5,,,,1,0,1,0,0,1,https://onlinelibrary.wiley.com/doi/10.1111/j.1348-0421.1982.tb00149.x,https://dialnet.unirioja.es/servlet/articulo?codigo=8143112,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2958.2008.06562.x,https://pubmed.ncbi.nlm.nih.gov/120727/,,
Pseudomonas mandelii,4,40,,,,,0.8,5,2.9,1,0,1,1,0,1,https://pdf.sciencedirectassets.com/273235/1-s2.0-S0723202099X80210/1-s2.0-S0723202099800277/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEEUaCXVzLWVhc3QtMSJHMEUCIQCeAeQZOZ6bQkOq9rbBiobpuGM8w7n7aNMEA4Mb8dDDrgIgNRwSgfHSH1bMMQ6YgAKy3P92luu4%2Bwt3KMNVCuxJs2Aq1QQI7f%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDMU0OMcqm9pTPO8E6iqpBL5aYSJabLaqV7petkf3f0QQ2mxp5X7FRYamq2v8KOlEbU60yINDcwXCjnYL8UT7RxM1WIWKSBzs6bB3EfI89%2F9xkcpmaygx15HDe8DnP%2BJNuD%2B9ogPjxKLxHaX%2B0hkUHRYHy%2FQpj8WacWjfp2lNtx2sKvT%2Fm%2B%2FModZxol3wy8TNKTaqwhRUkzbSZLjgArr667ITlnb5ghPWBrqGAKY9fcHnAwmQ1RITi%2FdTZfefWKT%2B2nBYvW0t%2BzUivp7yE%2FTBGHBDWHP1rZtesZyaPMdm8WC38ZtWojqp36sC94R2qs4o9Qk85kplUvp09UNp3lB9cwe3kRU14ksHwx91G0wFM02%2F9FUCjTLE%2FQIAWRPxvVzx0ijY34eYpUSNWasg6Jo0YxA1f3LOD1tiBMfELGieWXfk7S5fcaP6lZHJj780BUr11ESGdMYwbBS4MfHkGA1biG7ghbOKojyk9y0FAnOzW2qZK2wucdln6adLfYTCYDXMPr9g1jLrKjpJo3Skm1QixxsHgFb8bOYIcxzRzRY%2FzSsIYMvWHxHAPZBqSYu7iOEpbM8GKHlA7V8AWrS2caAYOfrZOATv3bnH24BWs2IuRA39hIJKjIy05yVnmtYCHhmTApXQNP9fHzBq5vTjjYpH5zOoWF6Nw7M5DoWUkUfRi2t4o%2BjJ062%2B6tLq7Y4%2F05RnMvcw%2FLyYH%2BXrmCZdJ0qY%2BT8mnI8GDOQQcB%2F2RSyHnGUPDOITRH%2FmGUgw5K7GmQY6qQFALtbQiuYF3OH8rL1vlwGEK0uLi0ITQlvAZC5wz5kq%2FVJFfPGai0U42PqQHvwlgGFBtJ4aXU5NECj5GIRN9nJrvJZ3x%2FpE9xzEhC1oiF%2BLevViO%2BOTqIQUcHKoiAAjHiEiIzA4dhXD2EY0Vw05WJmRe2Cvyt3zp3%2FlsHcxZzcqUeu6eVnEvX2VQkhUdFMUKV58PDH9Vy0IEy9lr%2Bsu87UgohNHwH6KMVQw&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220926T133107Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY5EEAIVMT%2F20220926%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a2951106e7c579eb800d8c8071f0b03e39104566d9ae9ca0e535a2767d64c473&hash=e35dc388105c527912a97a40f14d16543a468028f0ead264ae760b635796f100&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0723202099800277&tid=spdf-6b726051-64d8-49cc-b23a-85a04b2bd9be&sid=82783d4755d3624dbc6a0994229dd1b4150egxrqb&type=client&ua=4d5057065100075c520353&rr=750c5ba86c2614f5,,,,,
Pseudomonas prosekii,5,30,28,,,,,,,1,0,1,0,0,0,https://pubmed.ncbi.nlm.nih.gov/23794042/,,,,,
Pseudomonas veronii,4,36,,,,,,,,1,0,1,0,0,1,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.597.5460&rep=rep1&type=pdf,,,,,
Pseudomonas brenneri,4,40,30,5,8,6.5,0.8,3,1.9,1,0,1,0,0,0,https://www.sciencedirect.com/science/article/pii/S0923250801012232?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S187881812031104X,,,,
Pseudomonas weihenstephanensis,4,33,25,5,8,6.5,0,5,,1,0,1,0,0,0,https://web.archive.org/web/20190307161333id_/http://pdfs.semanticscholar.org/e346/7cb27c11ec9240e0dbb6b85c378693eec05a.pdf,,,,,
Pseudomonas koreensis,4,35,,,,,0,5,,1,0,1,0,0,0,https://www.researchgate.net/profile/Soon-Wo-Kwon/publication/10839414_Pseudomonas_koreensis_sp_nov_Pseudomonas_umsongensis_sp_nov_and_Pseudomonas_jinjuensis_sp_nov_novel_species_from_farm_soils_in_Korea/links/560a70d308ae4d86bb138e3b/Pseudomonas-koreensis-sp-nov-Pseudomonas-umsongensis-sp-nov-and-Pseudomonas-jinjuensis-sp-nov-novel-species-from-farm-soils-in-Korea.pdf,,,,,
Pseudomonas putida,27,40,30,,,,,,,1,0,1,0,0,1,https://www.banglajol.info/index.php/SJM/article/view/26912,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7789669/,,,,
Octadecabacter arcticus,4,15,9.5,6.5,8.5,7.5,1.7,7,3.5,0,0,1,0,0,0,https://www.sciencedirect.com/science/article/pii/S0723202097800033,,,,,
Ruegeria atlantica,20,30,25,,,7.6,,,,0,0,1,0,0,1,https://www.jstage.jst.go.jp/article/jgam/44/3/44_3_201/_pdf,,,,,
Amylibacter sp900197625,10,30,22.5,6,10,8,1,5,3.25,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.065847-0,,,,,
Anderseniella sp900149695,10,37,27.5,6,9.5,7.25,0.8,6,2.25,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65007-0,,,,,
Kiloniella laminariae,4,40,25,3.5,9.5,5.5,0.3,10,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.001651-0,,,,,
Pseudomonas monteilii,10,36,30,,,,,3,,1,0,1,0,0,0,https://doi.org/10.1099/00207713-47-3-846,,,,,
Pseudomonas plecoglossicida,10,30,,5,9,7,0,5,2.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-1-83,,,,,
Oceanicoccus sagamiensis,10,30,17.5,5,9,7,1,5,3,1,0,1,0,0,1,https://link.springer.com/article/10.1007/s12275-011-0368-y,,,,,
Leisingera caerulea,4,45,24,6,9,7.25,2,5,3.5,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.002642-0,,,,,
Leisingera aquaemixtae,10,40,30,5.5,10,7.25,0.5,8,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.057646-0,,,,,
Roseovarius azorensis,15,40,30,7,9,7,0.5,7,3,1,0,1,0,0,1,https://link.springer.com/article/10.1007/s10482-013-0109-9,,,,,
Pseudoruegeria lutimaris,10,37,30,5,8,6.5,0.5,9,2,0,0,1,1,0,,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.015073-0,,,,,
Roseospirillum parvum,,,30,,,7.9,,6.5,1.5,1,0,0,1,0,0,https://link.springer.com/article/10.1007/s002030050727,,,,,
Pseudomonas deceptionensis,-4,34,20,5,10,7.5,0,6,3,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.024919-0,,,,,
Hydrogenophaga crassostreae,4,35,25,5,8.5,6.5,1,5,2,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002244,,,,,
Azoarcus toluclasticus ,,,30,,,,,,,0,1,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-3-1129,,,,,
Azoarcus communis,,44,37,6,7.8,6.65,0,2,0,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-43-3-574,,,,,
Achromobacter pulmonis,,42,28,,,,0,6,3,0,0,1,1,0,0,https://www.sciencedirect.com/science/article/abs/pii/S0723202012001300?via%3Dihub,,,,,
